12-Apr-22 19:23:37 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:37 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:39 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:40 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:41 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:42 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:43 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:44 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:45 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:47 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:47 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:48 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:49 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:50 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:51 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:52 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:53 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
